央视频道,#genre#
东南卫视,http://119.34.190.113:2911/udp/224.1.100.55:11111
东南卫视,http://119.34.190.113:2911/udp/224.1.100.56:11111
澳门卫视,http://119.34.190.113:2911/udp/224.1.100.12:11111
星空卫视,http://119.34.190.113:2911/udp/224.1.100.13:11111
河南卫视,http://113.64.197.107:6633/udp/239.77.1.229:5146
河南卫视,http://113.64.197.107:6633/udp/239.77.0.17:5146
河南卫视,http://119.34.190.113:2911/udp/224.1.100.73:11111
河南卫视,http://119.34.190.113:2911/udp/224.1.100.74:11111
河北卫视,http://113.64.197.107:6633/udp/239.77.1.214:5146
河北卫视,http://113.64.197.107:6633/udp/239.77.0.148:5146
河北卫视,http://119.34.190.113:2911/udp/224.1.100.19:11111
河北卫视,http://119.34.190.113:2911/udp/224.1.100.20:11111
辽宁卫视,http://113.64.197.107:6633/udp/239.77.1.103:5146
辽宁卫视,http://113.64.197.107:6633/udp/239.77.0.123:5146
辽宁卫视,http://119.34.190.113:2911/udp/224.1.100.91:11111
辽宁卫视,http://119.34.190.113:2911/udp/224.1.100.92:11111
广西卫视,http://113.64.197.107:6633/udp/239.253.43.36:5146
广西卫视,http://113.64.197.107:6633/udp/239.77.0.139:5146
广西卫视,http://119.34.190.113:2911/udp/224.1.100.110:11111
广西卫视,http://119.34.190.113:2911/udp/224.1.100.111:11111
江西卫视,http://113.64.197.107:6633/udp/239.77.1.219:5146
江西卫视,http://113.64.197.107:6633/udp/239.77.0.149:5146
江西卫视,http://119.34.190.113:2911/udp/224.1.100.53:11111
江西卫视,http://119.34.190.113:2911/udp/224.1.100.54:11111
贵州卫视,http://113.64.197.107:6633/udp/239.77.1.221:5146
贵州卫视,http://113.64.197.107:6633/udp/239.77.0.230:5146
贵州卫视,http://119.34.190.113:2911/udp/224.1.100.57:11111
贵州卫视,http://119.34.190.113:2911/udp/224.1.100.58:11111
海南卫视,http://113.64.197.107:6633/udp/239.253.43.35:5146
海南卫视,http://113.64.197.107:6633/udp/239.253.43.101:5146
海南卫视,http://119.34.190.113:2911/udp/224.1.100.15:11111
海南卫视,http://119.34.190.113:2911/udp/224.1.100.16:11111
陕西卫视,http://113.64.197.107:6633/udp/239.77.0.68:5146
陕西卫视,http://113.64.197.107:6633/udp/239.77.1.54:5146
吉林卫视,http://113.64.197.107:6633/udp/239.77.1.111:5146
吉林卫视,http://113.64.197.107:6633/udp/239.77.0.150:5146
吉林卫视,http://119.34.190.113:2911/udp/224.1.100.59:11111
吉林卫视,http://119.34.190.113:2911/udp/224.1.100.60:11111
翡翠台,http://119.34.190.113:2911/udp/224.1.100.1:11111
翡翠台,http://119.34.190.113:2911/udp/224.1.100.121:11111
翡翠台,http://119.34.190.113:2911/udp/224.1.100.122:11111
山西卫视,http://113.64.197.107:6633/udp/239.77.0.69:5146
山西卫视,http://113.64.197.107:6633/udp/239.77.1.74:5146
山西卫视,http://119.34.190.113:2911/udp/224.1.100.150:11111
云南卫视,http://113.64.197.107:6633/udp/239.253.43.37:5146
云南卫视,http://113.64.197.107:6633/udp/239.253.43.100:5146
云南卫视,http://119.34.190.113:2911/udp/224.1.100.21:11111
云南卫视,http://119.34.190.113:2911/udp/224.1.100.22:11111
青海卫视,http://113.64.197.107:6633/udp/239.77.0.71:5146
青海卫视,http://113.64.197.107:6633/udp/239.77.1.70:5146
青海卫视,http://119.34.190.113:2911/udp/224.1.100.127:11111
内蒙古卫视,http://113.64.197.107:6633/udp/239.77.0.70:5146
内蒙古卫视,http://113.64.197.107:6633/udp/239.77.1.55:5146
宁夏卫视,http://113.64.197.107:6633/udp/239.77.0.73:5146
宁夏卫视,http://113.64.197.107:6633/udp/239.77.1.47:5146
宁夏卫视,http://119.34.190.113:2911/udp/224.1.100.8:11111
甘肃卫视,http://113.64.197.107:6633/udp/239.77.0.189:5146
甘肃卫视,http://119.34.190.113:2911/udp/224.1.100.10:11111
新疆卫视,http://113.64.197.107:6633/udp/239.77.0.75:5146
新疆卫视,http://113.64.197.107:6633/udp/239.77.1.53:5146
新疆卫视,http://119.34.190.113:2911/udp/224.1.100.14:11111
纪实科教,http://119.34.190.113:2911/udp/224.1.100.31:11111
纪实科教,http://119.34.190.113:2911/udp/224.1.100.32:11111
纪实科教,http://119.34.190.113:2911/udp/224.1.100.115:11111
纪实科教,http://119.34.190.113:2911/udp/224.1.100.116:11111
西藏卫视,http://113.64.197.107:6633/udp/239.77.0.74:5146
西藏卫视,http://113.64.197.107:6633/udp/239.77.1.49:5146
西藏卫视,http://119.34.190.113:2911/udp/224.1.100.125:11111
兵团卫视,http://113.64.197.107:6633/udp/239.77.0.77:5146
兵团卫视,http://113.64.197.107:6633/udp/239.77.1.80:5146
兵团卫视,http://119.34.190.113:2911/udp/224.1.100.128:11111
厦门卫视,http://113.64.197.107:6633/udp/239.77.0.96:5146
三沙卫视,http://113.64.197.107:6633/udp/239.253.43.113:5146
三沙卫视,http://119.34.190.113:2911/udp/224.1.100.148:11111
卡酷少儿,http://113.64.197.107:6633/udp/239.77.0.79:5146
卡酷少儿,http://113.64.197.107:6633/udp/239.77.1.50:5146
卡酷少儿,http://119.34.190.113:2911/udp/224.1.100.146:11111
卡酷少儿,http://119.34.190.113:2911/udp/224.1.100.112:11111
哈哈炫动,http://113.64.197.107:6633/udp/239.77.0.81:5146
哈哈炫动,http://113.64.197.107:6633/udp/239.77.1.139:5146
金鹰卡通,http://113.64.197.107:6633/udp/239.77.0.164:5146
金鹰卡通,http://113.64.197.107:6633/udp/239.77.0.80:5146
金鹰卡通,http://119.34.190.113:2911/udp/224.1.100.113:11111
金鹰卡通,http://119.34.190.113:2911/udp/224.1.100.114:11111
优漫卡通,http://113.64.197.107:6633/udp/239.77.0.222:5146
优漫卡通,http://113.64.197.107:6633/udp/239.77.1.79:5146
优漫卡通,http://119.34.190.113:2911/udp/224.1.100.119:11111
明珠台,http://119.34.190.113:2911/udp/224.1.100.123:11111
明珠台,http://119.34.190.113:2911/udp/224.1.100.2:11111
嘉佳卡通,http://113.64.197.107:6633/udp/239.77.0.179:5146
嘉佳卡通,http://113.64.197.107:6633/udp/239.77.0.13:5146
嘉佳卡通,http://113.64.197.107:6633/udp/239.77.1.15:5146
嘉佳卡通,http://119.34.190.113:2911/udp/224.1.100.144:11111
金鹰纪实,http://113.64.197.107:6633/udp/239.77.1.217:5146
金鹰纪实,http://113.64.197.107:6633/udp/239.77.0.160:5146
山东教育卫视,http://113.64.197.107:6633/udp/239.77.1.35:5146
山东教育卫视,http://113.64.197.107:6633/udp/239.77.0.83:5146
快乐垂钓,http://113.64.197.107:6633/udp/239.77.0.145:5146
茶频道,http://113.64.197.107:6633/udp/239.77.0.15:5146
茶频道,http://119.34.190.113:2911/udp/224.1.100.117:11111
茶频道,http://119.34.190.113:2911/udp/224.1.100.118:11111
